name,url,phone,address,placeId
Yasmine Palace Restaurant,https://www.google.com/maps/search/?api=1&query=Yasmine%20Palace%20Restaurant&query_place_id=ChIJr4DtWGzDRT4Rq9eA1zcHnK8,+974 7711 1504,"Parcel 18 Fountain Roundabout Pearl Qatar، Marina Way 31, Doha, Qatar",ChIJr4DtWGzDRT4Rq9eA1zcHnK8
La Mar Doha by Gastón Acurio,https://www.google.com/maps/search/?api=1&query=La%20Mar%20Doha%20by%20Gast%C3%B3n%20Acurio&query_place_id=ChIJdUTruDDDRT4RZtWPKvbBoXM,+974 4484 4098,"Bldg. No. 25, Zone، 61 Street 900, Doha, Qatar",ChIJdUTruDDDRT4RZtWPKvbBoXM
Twisted Olive & Naama’s Garden,https://www.google.com/maps/search/?api=1&query=Twisted%20Olive%20%26%20Naama%E2%80%99s%20Garden&query_place_id=ChIJ7RxJn6jFRT4ReLi7WhiKrsM,+974 4425 2727,"برج الدوحة, Doha Tower, 15 Street 910، Doha, Qatar",ChIJ7RxJn6jFRT4ReLi7WhiKrsM
REBERU Contemporary Cuisine,https://www.google.com/maps/search/?api=1&query=REBERU%20Contemporary%20Cuisine&query_place_id=ChIJWTggn8vFRT4RyMxCrioknsk,+974 4427 5365,"Building 3, Rawdat Al Khail St, Doha, Qatar",ChIJWTggn8vFRT4RyMxCrioknsk
Teatro Doha,https://www.google.com/maps/search/?api=1&query=Teatro%20Doha&query_place_id=ChIJoRy4f7_ERT4R1A-Oaa7vLFI,+974 4445 8888,"Level 2, 850 Conference Centre, Doha, Qatar",ChIJoRy4f7_ERT4R1A-Oaa7vLFI
Sushi Library Doha City Center,https://www.google.com/maps/search/?api=1&query=Sushi%20Library%20Doha%20City%20Center&query_place_id=ChIJweeRd-rFRT4R7rpbkHz2FLA,+974 3301 5695,"City Center, 1st floor, Doha, Qatar",ChIJweeRd-rFRT4R7rpbkHz2FLA
The Kitchen Doha,https://www.google.com/maps/search/?api=1&query=The%20Kitchen%20Doha&query_place_id=ChIJn3i9SKPDRT4R1UJ3Ro1s1D8,+974 4492 4610,"Abraj Quartier Pearl Boulevard Tower AQ-07, Doha, Qatar",ChIJn3i9SKPDRT4R1UJ3Ro1s1D8
Mykonos Doha,https://www.google.com/maps/search/?api=1&query=Mykonos%20Doha&query_place_id=ChIJzxTTV9PDRT4RoL4yTTZX3zQ,+974 4484 4919,"Beach & Spa, Street 900, Bldg. No. 25, Zone 61 Al Dafna InterContinental Doha, Doha, Qatar",ChIJzxTTV9PDRT4RoL4yTTZX3zQ
La Mesa Restaurant,https://www.google.com/maps/search/?api=1&query=La%20Mesa%20Restaurant&query_place_id=ChIJ8RL1QrnFRT4RfqGIjEkRyPk,+974 3999 4481,"Doha, Qatar",ChIJ8RL1QrnFRT4RfqGIjEkRyPk
Saffron Doha,https://www.google.com/maps/search/?api=1&query=Saffron%20Doha&query_place_id=ChIJiWIJ5rbFRT4RCI5uYipf_ks,+974 4410 3310,"Al Khaleej St, Doha, Qatar",ChIJiWIJ5rbFRT4RCI5uYipf_ks
Sarhad Premium Restaurant مطعم سرحد بريميم,https://www.google.com/maps/search/?api=1&query=Sarhad%20Premium%20Restaurant%20%D9%85%D8%B7%D8%B9%D9%85%20%D8%B3%D8%B1%D8%AD%D8%AF%20%D8%A8%D8%B1%D9%8A%D9%85%D9%8A%D9%85&query_place_id=ChIJeRldQybFRT4R2t14_TAUBJM,+974 6000 1550,"Golden Tulip Doha, Al Safliya St, Doha, Qatar",ChIJeRldQybFRT4R2t14_TAUBJM
SMAT Restaurant,https://www.google.com/maps/search/?api=1&query=SMAT%20Restaurant&query_place_id=ChIJHwpR7YTFRT4RF-iOsI5z2cI,+974 4410 6600,"Orient Pearl Restaurant Second Floor, Corniche Doha Near Rass Abu Aboud Signal, Emrair St, Doha, Qatar",ChIJHwpR7YTFRT4RF-iOsI5z2cI
Morimoto Doha,https://www.google.com/maps/search/?api=1&query=Morimoto%20Doha&query_place_id=ChIJ0fltzSjDRT4RxgrmFSSpHI0,+974 4045 5555,"101 Lusail Expy, Doha, Qatar",ChIJ0fltzSjDRT4RxgrmFSSpHI0
The Square,https://www.google.com/maps/search/?api=1&query=The%20Square&query_place_id=ChIJAQAAAMHERT4RiwjmdB9kvRo,+974 7021 8803,"InterContinental Doha The City, Off Al Wahda Road West Bay, Doha, Qatar",ChIJAQAAAMHERT4RiwjmdB9kvRo
Bayt El Talleh Restaurant,https://www.google.com/maps/search/?api=1&query=Bayt%20El%20Talleh%20Restaurant&query_place_id=ChIJ_8X3pSDDRT4RN1BxcZWbVFY,+974 5010 1777,"Katara Hills, Katara Cultural Village, Doha, Qatar",ChIJ_8X3pSDDRT4RN1BxcZWbVFY
Huqqa Qatar,https://www.google.com/maps/search/?api=1&query=Huqqa%20Qatar&query_place_id=ChIJGVuEQ_vFRT4RWdUrjYhX5xI,+974 4424 4866,"Building 59, Al Gassar Resort Tower 3, Street 834, Doha, Qatar",ChIJGVuEQ_vFRT4RWdUrjYhX5xI
Jamavar Doha,https://www.google.com/maps/search/?api=1&query=Jamavar%20Doha&query_place_id=ChIJf6oic1LFRT4RpitALpNivyc,+974 4485 4535,"Al Corniche, Doha, Qatar",ChIJf6oic1LFRT4RpitALpNivyc
IKA South American,https://www.google.com/maps/search/?api=1&query=IKA%20South%20American&query_place_id=ChIJNbUt_HfFRT4RDX48GXZw8-A,+974 3359 3043,"Aba Al Hanin Bil Hanin Street, Doha, Qatar",ChIJNbUt_HfFRT4RDX48GXZw8-A
Seasonal Tastes,https://www.google.com/maps/search/?api=1&query=Seasonal%20Tastes&query_place_id=ChIJAW-aEbXaRT4RQZ81a84hMq0,+974 3359 8514,"Salwa Rd, Doha, Qatar",ChIJAW-aEbXaRT4RQZ81a84hMq0
Nobu Doha,https://www.google.com/maps/search/?api=1&query=Nobu%20Doha&query_place_id=ChIJE6lqievERT4RhIxUznWxn38,+974 4494 8500,"Diplomatic St, Doha, Qatar",ChIJE6lqievERT4RhIxUznWxn38
Yasmine Palace Doha Festival City,https://www.google.com/maps/search/?api=1&query=Yasmine%20Palace%20Doha%20Festival%20City&query_place_id=ChIJ2fDvJfPdRT4RONtoiDP451E,+974 5009 9982,"9CMR+P5P Alnuaimi Area, Doha, Qatar",ChIJ2fDvJfPdRT4RONtoiDP451E
Fabio's - Ristorante Italiano,https://www.google.com/maps/search/?api=1&query=Fabio's%20-%20Ristorante%20Italiano&query_place_id=ChIJsT62fF3DRT4R_l2R2PDc110,+974 4451 4269,"The Pearl Qatar, Porto Arabia, Tower 16, La Croisette, Doha, Qatar",ChIJsT62fF3DRT4R_l2R2PDc110
c.mondo,https://www.google.com/maps/search/?api=1&query=c.mondo&query_place_id=ChIJM5t50UXbRT4Rov_gyQm0pjA,+974 4455 5105,"Centro Capital, Al Jazeera St, Doha, Qatar",ChIJM5t50UXbRT4Rov_gyQm0pjA
Paper Moon Doha,https://www.google.com/maps/search/?api=1&query=Paper%20Moon%20Doha&query_place_id=ChIJDzUsg2TFRT4RwqrEuktCR-I,+974 4016 6000,"7GFW+22G Jaidah Square, Airport St, Doha, Qatar",ChIJDzUsg2TFRT4RwqrEuktCR-I
La Spiga by Papermoon,https://www.google.com/maps/search/?api=1&query=La%20Spiga%20by%20Papermoon&query_place_id=ChIJUZPL-rvERT4RPJAzrln9P3c,+974 4453 5135,"W Doha Hotel & Residences, Diplomatic St, Doha, Qatar",ChIJUZPL-rvERT4RPJAzrln9P3c
Lucia's Doha,https://www.google.com/maps/search/?api=1&query=Lucia's%20Doha&query_place_id=ChIJG-4-xKHFRT4RDqhGy8YGUzk,+974 3111 7722,"Sheraton Grand Doha Resort & Convention Hotel, Doha, Qatar",ChIJG-4-xKHFRT4RDqhGy8YGUzk
Uzman Turkish Restaurant,https://www.google.com/maps/search/?api=1&query=Uzman%20Turkish%20Restaurant&query_place_id=ChIJm60c8GvFRT4Ry1f9Av1Ty7w,+974 7779 0168,"City Center Doha Shopping Mall, Conference Centre, Doha, Qatar",ChIJm60c8GvFRT4Ry1f9Av1Ty7w
Hunters Room and Grill,https://www.google.com/maps/search/?api=1&query=Hunters%20Room%20and%20Grill&query_place_id=ChIJq3uHa7XaRT4RaXM-5BJpZ7c,+974 3359 8514,"Salwa Rd, Doha, Qatar",ChIJq3uHa7XaRT4RaXM-5BJpZ7c
Qureshi Bukhara Doha - Dusit Hotel & Suites,https://www.google.com/maps/search/?api=1&query=Qureshi%20Bukhara%20Doha%20-%20Dusit%20Hotel%20%26%20Suites&query_place_id=ChIJ39XF4sLFRT4R0HIMnPmMcYM,+974 4004 4052,"Dusit Hotel & Suites, Doha, Qatar",ChIJ39XF4sLFRT4R0HIMnPmMcYM
Babel Qatar - Fine Dining Lebanese Restaurant,https://www.google.com/maps/search/?api=1&query=Babel%20Qatar%20-%20Fine%20Dining%20Lebanese%20Restaurant&query_place_id=ChIJSTkwEXDDRT4RfPgcV-Wn0tk,+974 3995 6255,"The St.Regis Marsa Arabia Island, Doha, Qatar",ChIJSTkwEXDDRT4RfPgcV-Wn0tk
Roberto's Doha,https://www.google.com/maps/search/?api=1&query=Roberto's%20Doha&query_place_id=ChIJa4Mb_DTDRT4RNQ6JrmnSO_o,+974 3995 3756,"The St. Regis, Island, Qatar",ChIJa4Mb_DTDRT4RNQ6JrmnSO_o
Palette Bistro,https://www.google.com/maps/search/?api=1&query=Palette%20Bistro&query_place_id=ChIJm0gZONXdRT4RNcBByVNyOS4,+974 5105 1155,"1st Floor Doha Festival City, VIP Section Al Shamal Rd, Umm Salal Muhammed, Doha, Qatar",ChIJm0gZONXdRT4RNcBByVNyOS4
Chilis - Doha Festival City,https://www.google.com/maps/search/?api=1&query=Chilis%20-%20Doha%20Festival%20City&query_place_id=ChIJyxWdvMPdRT4RIT8zILtzsQE,+974 7700 7432,"Doha Festival City, 1st Floor, South Food Court, Doha, Qatar",ChIJyxWdvMPdRT4RIT8zILtzsQE
Sushi Library Doha Festival City,https://www.google.com/maps/search/?api=1&query=Sushi%20Library%20Doha%20Festival%20City&query_place_id=ChIJzfXO2FXdRT4R3iC4hgh3XQg,+974 5568 9782,"Doha Festival City, Doha, Qatar",ChIJzfXO2FXdRT4R3iC4hgh3XQg
Market by Jean-Georges,https://www.google.com/maps/search/?api=1&query=Market%20by%20Jean-Georges&query_place_id=ChIJSz_K5LvERT4RaK55cWWZbiQ,,"W Doha Hotel & Residences, Doha, Qatar",ChIJSz_K5LvERT4RaK55cWWZbiQ
La Veranda,https://www.google.com/maps/search/?api=1&query=La%20Veranda&query_place_id=ChIJR5ZrdsLERT4R0UaV0iv28pE,+974 4485 3000,"Sheraton Doha Resort & Convention Hotel, Al Corniche, Doha, Qatar",ChIJR5ZrdsLERT4R0UaV0iv28pE
Spice Market,https://www.google.com/maps/search/?api=1&query=Spice%20Market&query_place_id=ChIJSz_K5LvERT4Rx-mU05wm9bE,+974 4453 5135,"W Doha Hotel & Residences, Doha, Qatar",ChIJSz_K5LvERT4Rx-mU05wm9bE
Ipanema,https://www.google.com/maps/search/?api=1&query=Ipanema&query_place_id=ChIJ2XoiALnERT4RRTJLGeYFCFU,+974 4419 5510,"Marriott Marquis City Center Doha Hotel, Doha, Qatar",ChIJ2XoiALnERT4RRTJLGeYFCFU
The Lagoon Doha,https://www.google.com/maps/search/?api=1&query=The%20Lagoon%20Doha&query_place_id=ChIJPxdqQ8ncRT4R_GXWok9tZAc,+974 4484 8512,"The Ritz-Carlton Doha, Doha, Qatar",ChIJPxdqQ8ncRT4R_GXWok9tZAc
RIVAAJ,https://www.google.com/maps/search/?api=1&query=RIVAAJ&query_place_id=ChIJc5p2fd3DRT4R58CE9HBv3gc,+974 4446 0508,"The St. Regis Doha, Al Gassar Resort, Doha, Qatar",ChIJc5p2fd3DRT4R58CE9HBv3gc
Rasa Doha,https://www.google.com/maps/search/?api=1&query=Rasa%20Doha&query_place_id=ChIJBV6LorXFRT4R6JZrRfoAJhc,+974 4429 8666,"Rixos Gulf Hotel, Doha, Qatar",ChIJBV6LorXFRT4R6JZrRfoAJhc
"Desert Rose Restaurant, Doha",https://www.google.com/maps/search/?api=1&query=Desert%20Rose%20Restaurant%2C%20Doha&query_place_id=ChIJAVmkeg3FRT4Rmvjwo_DuRoI,+974 5525 9646,"Abdullah Bin Jassim St, Doha, Qatar",ChIJAVmkeg3FRT4Rmvjwo_DuRoI
Il Galante - Authentic Italian Restaurant,https://www.google.com/maps/search/?api=1&query=Il%20Galante%20-%20Authentic%20Italian%20Restaurant&query_place_id=ChIJG90uo0PFRT4RMdeHjl521uA,+974 4410 3310,"Al Khaleej St, Doha, Qatar",ChIJG90uo0PFRT4RMdeHjl521uA
Fuego,https://www.google.com/maps/search/?api=1&query=Fuego&query_place_id=ChIJ6f-yJ7vFRT4RQNDVwW_r8uw,+974 4429 5146,"Conference Centre, Doha, Qatar",ChIJ6f-yJ7vFRT4RQNDVwW_r8uw
Gaia Doha,https://www.google.com/maps/search/?api=1&query=Gaia%20Doha&query_place_id=ChIJE7D8irbFRT4R3YPjOXD1J58,+974 4453 6200,"Street 801, Building 138, Zone 61, Doha, Qatar",ChIJE7D8irbFRT4R3YPjOXD1J58
Shanghai Me Doha,https://www.google.com/maps/search/?api=1&query=Shanghai%20Me%20Doha&query_place_id=ChIJpfpTWZrFRT4R3V9lf0mhYdw,+974 3063 3429,"Dafna Street, Area: 61, Street: 801, Building: 138, Doha, Qatar",ChIJpfpTWZrFRT4R3V9lf0mhYdw
Hoppers Doha,https://www.google.com/maps/search/?api=1&query=Hoppers%20Doha&query_place_id=ChIJpXOnYjvFRT4RYwXm5TRCdW0,+974 6606 7955,"Barahat Msheireb St, Doha, Qatar",ChIJpXOnYjvFRT4RYwXm5TRCdW0
Turkey Central Restaurant,https://www.google.com/maps/search/?api=1&query=Turkey%20Central%20Restaurant&query_place_id=ChIJTe0cm7jaRT4RGgIGe7ncHf4,+974 4442 3423,"Al Mirqab Al Jadeed St, Doha, Qatar",ChIJTe0cm7jaRT4RGgIGe7ncHf4
Novikov Doha Restaurant & Beach Club,https://www.google.com/maps/search/?api=1&query=Novikov%20Doha%20Restaurant%20%26%20Beach%20Club&query_place_id=ChIJo0gOzGLDRT4RrpZvkvLeWho,+974 6691 6867,"St Regis, Doha, Qatar",ChIJo0gOzGLDRT4RrpZvkvLeWho
Public House Doha,https://www.google.com/maps/search/?api=1&query=Public%20House%20Doha&query_place_id=ChIJbWt_KWHDRT4RQaqkkDVIOro,+974 4035 5011,"Marsa Malaz Kempinski, The Pearl - Doha Costa Malaz Bay, Doha, Qatar",ChIJbWt_KWHDRT4RQaqkkDVIOro
"Off the Hook Seafood Restaurant - B ring Road, Al Muntazah Area, Doha",https://www.google.com/maps/search/?api=1&query=Off%20the%20Hook%20Seafood%20Restaurant%20-%20B%20ring%20Road%2C%20Al%20Muntazah%20Area%2C%20Doha&query_place_id=ChIJJdDuFZrFRT4RQzcjq7uGuQ0,+974 4441 1684,"Doha, Qatar",ChIJJdDuFZrFRT4RQzcjq7uGuQ0
Mosavali Doha,https://www.google.com/maps/search/?api=1&query=Mosavali%20Doha&query_place_id=ChIJGeckpJnFRT4RQIRwVZiktT0,+974 4410 6393,"Doha, Qatar",ChIJGeckpJnFRT4RQIRwVZiktT0
Fūdo Restaurant,https://www.google.com/maps/search/?api=1&query=F%C5%ABdo%20Restaurant&query_place_id=ChIJywNoLnXbRT4RNqpad3aW3VM,+974 4038 8938,"Qatari Bin Al Fujaah St, Doha, Qatar",ChIJywNoLnXbRT4RNqpad3aW3VM
Qalamkarri,https://www.google.com/maps/search/?api=1&query=Qalamkarri&query_place_id=ChIJ26N5dJvFRT4RDkU1PLXbdnc,+974 4410 3310,"Al Khaleej St, Doha, Qatar",ChIJ26N5dJvFRT4RDkU1PLXbdnc
Bayt Sharq,https://www.google.com/maps/search/?api=1&query=Bayt%20Sharq&query_place_id=ChIJx1sM5iLFRT4RDwqBLjvw7MY,+974 7770 4589,"Al Corniche, Doha, Qatar",ChIJx1sM5iLFRT4RDwqBLjvw7MY
Kai's Songbird,https://www.google.com/maps/search/?api=1&query=Kai's%20Songbird&query_place_id=ChIJiZ0uXmvDRT4RmKANIxtgS1w,+974 4424 1124,"Kai's Songbird, Doha, Qatar",ChIJiZ0uXmvDRT4RmKANIxtgS1w
Zengo by Chef Richard Sandoval,https://www.google.com/maps/search/?api=1&query=Zengo%20by%20Chef%20Richard%20Sandoval&query_place_id=ChIJ3T3OSjLFRT4RG7dFLBHRyB0,+974 4405 3560,"Kempinski Residences & Suites, Doha, Qatar",ChIJ3T3OSjLFRT4RG7dFLBHRyB0
Pure Eats Co.,https://www.google.com/maps/search/?api=1&query=Pure%20Eats%20Co.&query_place_id=ChIJC5iAotrDRT4Rrbi7NYJ036s,+974 4001 0012,"Retail Unit-114, 05B, Qatar",ChIJC5iAotrDRT4Rrbi7NYJ036s
Sabai Thai Restaurant,https://www.google.com/maps/search/?api=1&query=Sabai%20Thai%20Restaurant&query_place_id=ChIJvSMAdLXaRT4ROtw6wwQGAQg,+974 3359 8514,"Salwa Rd, Doha, Qatar",ChIJvSMAdLXaRT4ROtw6wwQGAQg
Sel & Miel,https://www.google.com/maps/search/?api=1&query=Sel%20%26%20Miel&query_place_id=ChIJRzRyMrTdRT4RQA10Z-sXFaU,+974 5576 4278,"The Ritz-Carlton, Doha, Qatar",ChIJRzRyMrTdRT4RQA10Z-sXFaU
